"number","title","labels"
"4277","feat(build-study-designer): Step 7 ΓÇö Harden observation payload and submission failure handling",""
"4276","feat(build-study-designer): Step 6 ΓÇö Apply gating to UI controls and add read-only/forbidden state",""
"4275","feat(build-study-designer): Step 5 ΓÇö Derive permission and study-scope gates in EcrfView",""
"4274","feat(build-study-designer): Step 4 ΓÇö Add permission-gating tests","enhancement, validation, security, child, type: feature, blocked, priority: medium, status: blocked"
"4273","feat(build-study-designer): Step 3 ΓÇö Harden observation payload and submission failure handling",""
"4272","feat(build-study-designer): Step 2 ΓÇö Apply gating to UI controls and add read-only/forbidden state",""
"4271","feat(build-study-designer): Step 1 ΓÇö Derive permission and study-scope gates in EcrfView","enhancement, security, compliance, 21CFR11, architecture, type: feature"
"4270","feat(build-study-designer): Step 2 ΓÇö Propagate tenant and scope headers in the gateway client","enhancement, security, api, integration, requirements, dependencies, child, type: feature, blocked, priority: medium, status: blocked"
"4269","feat(build-study-designer): Step 1 ΓÇö Propagate tenant and scope headers in the gateway client","enhancement, security, api, integration, requirements, child, type: feature"
"4268","feat(build-study-designer): Step 6 ΓÇö Permission and scope getters in the SPA auth store",""
"4267","feat(build-study-designer): Step 5 ΓÇö Tenant and scope state in the SPA auth store","enhancement, security, api, dependencies, child, type: feature, blocked, status: blocked"
"4266","feat(build-study-designer): Step 4 ΓÇö Shared frontend authorization module in `packages/ui`",""
"4265","feat(build-study-designer): Step 3 ΓÇö Permission and scope getters in the SPA auth store","enhancement, security, dependencies, scope: frontend, type: feature, blocked, status: blocked, area: frontend"
"4264","feat(build-study-designer): Step 2 ΓÇö Tenant and scope state in the SPA auth store","enhancement, security, api, dependencies, child, type: feature, blocked, status: blocked"
"4263","feat(build-study-designer): Step 1 ΓÇö Shared frontend authorization module in `packages/ui`",""
"4262","feat(build-study-designer): Step 6 ΓÇö Extend the test suites","enhancement, qa, validation, testing, api, architecture, requirements, dependencies, child, scope: frontend, type: feature, blocked, priority: medium, status: blocked, area: frontend"
"4261","feat(build-study-designer): Step 5 ΓÇö Inject tenant and scope headers in the shared fetch wrapper",""
"4260","feat(build-study-designer): Step 4 ΓÇö Add tenant, scope, and permission model to the auth store","enhancement, security, child, scope: frontend, type: feature, blocked, priority: medium, status: blocked, area: frontend"
"4259","feat(build-study-designer): Step 3 ΓÇö Extend the test suites","enhancement, qa, validation, testing, security, compliance, api, integration, architecture, requirements, dependencies, child, scope: frontend, type: feature, blocked, priority: medium, status: blocked, area: frontend"
"4258","feat(build-study-designer): Step 2 ΓÇö Inject tenant and scope headers in the shared fetch wrapper",""
"4257","feat(build-study-designer): Step 1 ΓÇö Add tenant, scope, and permission model to the auth store","enhancement, security, requirements, child, scope: frontend, type: feature, area: frontend"
"4256","feat(build-study-designer): Step 6 ΓÇö Handle submission edge cases","enhancement, child, type: feature, blocked, status: blocked"
"4255","feat(build-study-designer): Step 5 ΓÇö Apply permission and study-scope gating in `EcrfView.vue`",""
"4254","feat(build-study-designer): Step 4 ΓÇö Confirm and consume auth-store permission helpers",""
